type;subtype;EOVX;EOVY;LAT;LON;capacity;id;id0;minage;maxage;risk
4;inkubátorház;735440;100311;46,2419;20,155252;100;136479;735440100311;22;65;1
4;inkubátorház;730002;105203;46,286574;20,085595;100;184014;730002105203;22;65;1
4;parkoló;735649;101072;46,248718;20,158102;3;185186;735649101072;18;65;1
4;parkoló;733342;102952;46,265919;20,128527;3;185187;733342102952;18;65;1
4;temető, sírkert;731327;101799;46,255796;20,102191;20;132613;731327101799;22;65;1
4;temető, sírkert;731455;101467;46,252794;20,103793;20;132625;731455101467;22;65;1
4;temető, sírkert;731327;101799;46,255796;20,102191;20;132613;731327101799;22;65;1
4;temető, sírkert;731517;102035;46,257895;20,104696;20;130301;731517102035;22;65;1
4;temető, sírkert;733210;100035;46,239697;20,126293;20;128382;733210100035;22;65;1
4;temető, sírkert;731346;102088;46,258393;20,102488;20;128776;731346102088;22;65;1
4;temető, sírkert;727617;103651;46,272894;20,054391;20;129148;727617103651;22;65;1
4;temető, sírkert;735295;103177;46,267698;20,153898;20;129269;735295103177;22;65;1
4;temető, sírkert;731904;95681;46,200694;20,108597;20;131313;73190495681;22;65;1
4;temető, sírkert;731197;101764;46,255497;20,100499;20;131963;731197101764;22;65;1
4;temető, sírkert;738680;102603;46,262095;20,197692;20;132193;738680102603;22;65;1
4;temető, sírkert;731520;101813;46,255898;20,104696;20;135443;731520101813;22;65;1
4;temető, sírkert;738397;95617;46,199294;20,192695;20;135444;73839795617;22;65;1
4;temető, sírkert;737862;97333;46,2148;20,186088;20;135504;73786297333;22;65;1
4;temető, sírkert;736872;99108;46,230895;20,173592;20;135895;73687299108;22;65;1
4;temető, sírkert;738847;103328;46,268594;20,199996;20;135903;738847103328;22;65;1
4;diákszálló;734519;100339;46,242268;20,143317;5;44584;734519100339;18;65;1
4;diákszálló;734149;101462;46,252416;20,138724;5;77489;734149101462;18;65;1
4;diákszálló;733767;102642;46,263078;20,133983;5;114605;733767102642;18;65;1
4;diákszálló;736081;102903;46,265133;20,164042;5;184293;736081102903;18;65;1
4;diákszálló;734863;101091;46,248989;20,147914;5;184911;734863101091;18;65;1
4;diákszálló;731013;104284;46,278186;20,098552;5;184914;731013104284;18;65;1
4;diákszálló;736412;100924;46,247289;20,167967;5;184920;736412100924;18;65;1
4;diákszálló;734757;102223;46,259185;20,146746;5;184922;734757102223;18;65;1
4;diákszálló;734839;100730;46,245745;20,147537;5;184925;734839100730;18;65;1
4;diákszálló;734707;100506;46,243747;20,145785;5;184927;734707100506;18;65;1
4;diákszálló;734800;100873;46,247036;20,147058;5;184931;734800100873;18;65;1
4;idősek otthona;734388;101604;46,253663;20,141849;50;108580;734388101604;24;65;1
4;idősek otthona;733888;101472;46,252539;20,135341;50;108734;733888101472;24;65;1
4;idősek otthona;734377;102555;46,262219;20,141878;50;108777;734377102555;24;65;1
4;idősek otthona;733717;99355;46,233518;20,132743;50;108800;73371799355;24;65;1
4;idősek otthona;733857;101484;46,252651;20,134942;50;109019;733857101484;24;65;1
4;idősek otthona;735259;99956;46,238729;20,152841;50;109020;73525999956;24;65;1
4;idősek otthona;736415;104234;46,277062;20,168621;50;109021;736415104234;24;65;1
4;idősek otthona;733030;101518;46,253059;20,124224;50;109193;733030101518;24;65;1
4;ifjúsági szálló;737475;101364;46,251109;20,181832;5;190009;737475101364;18;65;1
4;ifjúsági szálló;734767;100179;46,240798;20,146503;5;190077;734767100179;18;65;1
4;kemping;724552;103024;46,267602;20,014532;5;13683;724552103024;18;65;1
4;kemping;725079;103365;46,270611;20,021423;5;15822;725079103365;18;65;1
4;kemping;735735;101494;46,252503;20,159294;5;15824;735735101494;18;65;1
4;kemping;732653;102786;46,264512;20,119561;5;56867;732653102786;18;65;1
4;kollégium;734155;100325;46,242188;20,138596;10;34035;734155100325;18;65;1
4;kollégium;734233;103218;46,268201;20,140131;10;44323;734233103218;18;65;1
4;kollégium;734519;100339;46,242268;20,143317;10;44584;734519100339;18;65;1
4;kollégium;734624;100550;46,244153;20,144717;10;46689;734624100550;18;65;1
4;kollégium;734152;100777;46,246254;20,138639;10;46719;734152100777;18;65;1
4;kollégium;736492;101139;46,249213;20,169044;10;63841;736492101139;18;65;1
4;kollégium;734149;101462;46,252416;20,138724;10;77489;734149101462;18;65;1
4;kollégium;735129;101133;46,249333;20,151371;10;109817;735129101133;18;65;1
4;kollégium;732549;101612;46,253964;20,118004;10;114491;732549101612;18;65;1
4;kollégium;733767;102642;46,263078;20,133983;10;114605;733767102642;18;65;1
4;kollégium;734863;101091;46,248989;20,147914;10;184911;734863101091;18;65;1
4;kollégium;736647;100869;46,246764;20,171003;10;184912;736647100869;18;65;1
4;kollégium;734238;101243;46,250435;20,139838;10;184913;734238101243;18;65;1
4;kollégium;731013;104284;46,278186;20,098552;10;184914;731013104284;18;65;1
4;kollégium;736962;101337;46,250933;20,175175;10;184915;736962101337;18;65;1
4;kollégium;734508;100198;46,241001;20,143149;10;184916;734508100198;18;65;1
4;kollégium;734285;101327;46,251185;20,140463;10;184917;734285101327;18;65;1
4;kollégium;731329;102690;46,26381;20,102373;10;184919;731329102690;18;65;1
4;kollégium;736412;100924;46,247289;20,167967;10;184920;736412100924;18;65;1
4;kollégium;734877;102168;46,258675;20,148292;10;184921;734877102168;18;65;1
